rank,stock_id,name,market,industry_category,signal,long_score,raw_long_score,risk_penalty,close,ret_1d,turnover,money_ma20,vol_ratio_5,intraday_pos,rsi14,macd_hist,close_vwap_diff,breakout_20d,near_limit_up,long_upper_shadow,reasons
1,8096,擎亞,tpex,電子通路業,偏多,87.82255015711868,87.82255015711868,0.0,167.5,0.06349206349206349,647987992.0,1067151099.55,1.8204307507786737,0.8571428571428571,66.1764705882353,0.15893331563561297,0.0251068471960203,True,False,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、RSI健康
2,1216,統一,twse,食品工業,偏多,82.95680846632635,82.95680846632635,0.0,77.8,0.019659239842725995,1758364529.0,1107320126.3,1.6186755594478373,0.6999999999999957,57.00934579439251,0.08974461927867783,9.612409555148638e-05,True,False,False,量破5日高、接近20日突破、MACD動能擴大、RSI健康
3,1717,長興,twse,化學工業,偏多,80.595219073729,80.595219073729,0.0,85.4,0.04656862745098045,8806806252.0,1475446641.6,2.694813087632749,0.5949367088607604,67.92929292929293,1.3589300574421683,0.0007918414463150558,True,False,False,量破5日高、接近20日突破、MACD動能擴大、RSI健康
4,5425,台半,tpex,半導體業,偏多,77.69532430908065,90.69532430908065,13.0,144.0,0.0992366412213741,3034018439.0,2873852631.45,2.094441111332938,1.0,71.20315581854044,1.2730536143418103,0.007480194816311014,True,True,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、產業相對強、近漲停過熱扣分
5,2351,順德,twse,電子工業,偏多,76.71388169137393,85.71388169137393,9.0,228.0,0.0987951807228915,3455176969.0,1686324616.45,1.9639763770640564,1.0,63.75,1.4380816233791993,0.004731800178886969,True,True,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、RSI健康、近漲停過熱扣分
6,6213,聯茂,twse,電子零組件業,偏多,75.91925267907502,75.91925267907502,0.0,396.0,0.0050761421319796,13254207117.0,6423331078.1,1.353453741060523,0.53125,79.24944812362031,9.49617720644422,0.006915491073203217,True,False,False,量破5日高、接近20日突破、MACD動能擴大
7,2428,興勤,twse,電子零組件業,偏多,74.54318134395615,79.54318134395615,5.0,343.5,0.004385964912280604,2203795928.0,937345750.05,1.7418712000566299,0.47368421052631576,60.0,0.8041638974248286,-0.005085902627187333,True,False,False,量破5日高、接近20日突破、MACD動能擴大、RSI健康、收低於VWAP扣分
8,2912,統一超,twse,貿易百貨,偏多,74.37438046756715,74.37438046756715,0.0,240.0,0.03896103896103886,1038466277.0,823987286.0,1.3241362067488367,0.8947368421052632,65.0,1.1017950076020515,0.005132302432965918,False,False,False,量破5日高、收在高檔、MACD動能擴大、RSI健康
9,2352,佳世達,twse,電腦及週邊設備業,偏多,72.56465434478633,81.56465434478633,9.0,35.4,0.0993788819875776,1815845966.0,572987631.7,1.3551221012412245,1.0,63.66666666666666,0.1762298437201788,0.007885457724997158,True,True,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、RSI健康、產業相對強、近漲停過熱扣分
10,8926,台汽電,twse,油電燃氣業,偏多,72.3259034751901,72.3259034751901,0.0,81.0,0.08000000000000007,1017466194.0,885599458.55,1.5481628913424959,0.9180327868852458,64.72602739726025,-0.8831827559208492,0.027139441254005803,False,False,False,量破5日高、收在高檔、RSI健康
